time_s,good_packets,crc_errors,hec_errors,error_rate,dsp_level,bitrate_kbps,acl_slots,suspend_slots
7.467,39,1,0,2,126,188,,
8.504,43,1,0,2,126,210,,
9.497,44,0,0,0,126,218,,
10.52,44,2,0,4,126,217,,
11.536,44,0,0,0,126,215,,
12.568,44,1,0,2,126,217,,
13.586,44,1,0,2,126,215,,
14.621,44,0,0,0,126,213,,
15.645,44,1,0,2,126,215,,
16.671,44,1,0,2,126,215,,
17.667,44,0,0,0,126,216,,
18.694,44,2,0,4,126,218,,
19.721,44,1,0,2,126,217,,
20.735,43,0,0,0,126,212,,
21.735,44,0,0,0,126,217,,
22.758,44,1,0,2,126,217,,
23.772,44,0,0,0,126,215,,
24.821,44,0,0,0,126,216,,
25.814,44,2,0,4,126,215,,
26.859,44,1,1,4,126,217,,
27.898,44,0,0,0,126,218,,
28.917,44,2,0,4,126,218,,
29.921,44,1,0,2,126,219,,
30.937,44,0,1,2,126,220,,
31.968,44,2,0,4,126,218,,
32.996,43,0,1,2,126,212,,
33.999,44,2,0,4,126,218,,
34.998,44,11,0,20,126,217,,
36.014,44,6,0,12,126,216,,
37.03,44,6,0,12,126,219,,
38.094,44,1,0,2,126,217,,
39.098,44,10,0,18,126,218,,
40.082,44,35,5,47,126,187,,
41.122,43,80,10,67,103,151,,
42.121,34,148,9,82,80,105,,
43.121,45,118,10,73,126,127,,
44.137,34,105,16,78,57,96,,
45.153,36,113,18,78,80,100,,
46.167,2,31,5,94,80,2,,
47.151,23,144,20,87,126,64,,
48.167,5,181,11,97,80,13,,
49.183,38,134,19,80,452,107,,
50.188,41,97,10,72,405,116,,
51.204,19,162,16,90,196,53,,
52.215,11,199,19,95,80,30,,
53.222,5,168,14,97,57,14,,
54.223,51,104,7,68,452,144,,
55.237,45,98,6,69,452,126,,
56.251,43,87,8,68,452,121,,
57.262,33,143,17,82,219,93,,
58.282,32,149,19,84,336,90,,
59.282,21,166,26,90,173,59,,
60.299,22,189,25,90,57,62,,
61.298,0,199,26,100,57,0,,
62.321,0,3,3,100,103,0,,
63.322,26,155,25,87,149,70,,
64.337,53,92,2,63,405,148,,
65.336,42,56,2,58,359,118,,
66.351,45,109,8,72,405,127,,
67.352,44,62,0,58,405,124,,
68.37,43,96,1,69,405,120,,
69.392,44,59,1,57,405,124,,
70.379,43,25,1,37,405,122,,
71.399,44,72,13,65,405,124,,
72.4,43,33,2,44,405,122,,
73.451,44,13,1,24,405,123,,
74.436,43,4,1,10,405,121,,
75.438,44,3,1,8,405,124,,
76.469,44,3,0,6,405,123,,
77.486,44,1,0,2,405,123,,
78.521,44,4,0,8,405,149,,
79.537,44,1,0,2,405,156,,
80.569,44,2,0,4,405,156,,
81.563,44,0,0,0,405,143,,
82.598,43,3,0,6,405,14,,
